ID,accepteret_dansk_navn,species,wcvp_species,gbif_species
1940,Hvidgrå draba,Draba incana,Draba incana,Draba incana
1941,Mur-draba,Draba muralis,Draba muralis,NA
1942,Vår-gæslingeblomst,Draba verna,Draba verna,Draba verna
1943,Moldavisk dragehoved,Dracocephalum moldavica,Dracocephalum moldavica,Dracocephalum moldavica
1944,Storbægret dragehoved,Dracocephalum parviflorum,Dracocephalum parviflorum,Dracocephalum parviflorum
1945,Almindelig dragehoved,Dracocephalum ruyschiana,Dracocephalum ruyschiana,Dracocephalum ruyschiana
1946,Russisk dragehoved,Dracocephalum thymiflorum,Dracocephalum thymiflorum,Dracocephalum thymiflorum
1947,Drageøje,Dracopis amplexicaulis,Rudbeckia amplexicaulis,Rudbeckia amplexicaulis
1948,NA,Draparnaldia mutabilis,,Draparnaldia mutabilis
1949,Kær-seglmos,Drepanocladus aduncus,,Drepanocladus aduncus
1950,Spidsbladet seglmos,Drepanocladus longifolius,,Drepanocladus longifolius
1951,Blød seglmos,Drepanocladus lycopodioides,,Drepanocladus lycopodioides
1952,Kyst-guldstjernemos,Drepanocladus polygamus,,Drepanocladus polygamus
1953,Stiv seglmos,Drepanocladus sendtneri,,Drepanocladus sendtneri
1954,Langbladet soldug,Drosera anglica,Drosera anglica,Drosera anglica
1955,Langbladet soldug × rundbladet soldug,Drosera anglica × rotundifolia,Drosera anglica,NA
1956,Liden soldug,Drosera intermedia,Drosera intermedia,Drosera intermedia
1957,Rundbladet soldug,Drosera rotundifolia,Drosera rotundifolia,Drosera rotundifolia
1958,Skov-svingel,Drymochloa sylvatica,Festuca altissima,Festuca altissima
1959,NA,Dryopteris abbreviata,Cyclodium heterodon,NA
1960,Guldskæl-mangeløv,Dryopteris affinis,Dryopteris affinis,Dryopteris affinis
1961,Guldskæl-mangeløv × almindelig mangeløv,Dryopteris affinis × filix-mas,Dryopteris affinis,NA
1962,NA,Dryopteris affinis subsp. borreri,Dryopteris borreri,Dryopteris borreri
1963,NA,Dryopteris affinis subsp. cambrensis,Dryopteris cambrensis,Dryopteris cambrensis
1964,Smalbladet mangeløv,Dryopteris carthusiana,Dryopteris carthusiana,Dryopteris carthusiana
1965,Smalbladet mangeløv × butfinnet mangeløv,Dryopteris carthusiana × cristata,Dryopteris carthusiana,NA
1966,Smalbladet mangeløv × bredbladet mangeløv,Dryopteris carthusiana × dilatata,Dryopteris carthusiana,NA
1967,Smalbladet mangeløv × finbladet mangeløv,Dryopteris carthusiana × expansa,Dryopteris carthusiana,NA
1968,Smalbladet mangeløv × almindelig mangeløv,Dryopteris carthusiana × filix-mas,Dryopteris carthusiana,NA
1969,Butfinnet mangeløv,Dryopteris cristata,Dryopteris cristata,Dryopteris cristata
1970,Bredbladet mangeløv,Dryopteris dilatata,Dryopteris dilatata,Dryopteris dilatata
1971,Bredbladet mangeløv × finbladet mangeløv,Dryopteris dilatata × expansa,Dryopteris dilatata,NA
1972,Bredbladet mangeløv × almindelig mangeløv,Dryopteris dilatata × filix-mas,Dryopteris dilatata,NA
1973,Finbladet mangeløv,Dryopteris expansa,Dryopteris expansa,Dryopteris expansa
1974,Almindelig mangeløv,Dryopteris filix-mas,Dryopteris filix-mas,Dryopteris filix-mas
1975,Slimet perlealge,Dudresnaya verticillata,,Dudresnaya verticillata
1976,Vifteaks,Dulichium arundinaceum,Dulichium arundinaceum,Dulichium arundinaceum
1977,Dumontalge,Dumontia contorta,,Dumontia contorta
1978,Vellugtende gåsefod,Dysphania ambrosioides,Dysphania ambrosioides,Dysphania ambrosioides
1979,NA,Dysphania anthelmintica,Dysphania anthelmintica,Dysphania anthelmintica
1980,Egebladet gåsefod,Dysphania botrys,Dysphania botrys,Dysphania botrys
1981,NA,Dysphania carinata,Dysphania carinata,Dysphania carinata
1982,NA,Dysphania multifida,Dysphania multifida,Dysphania multifida
1983,Dværg-gåsefod,Dysphania pumilio,Dysphania pumilio,Dysphania pumilio
1984,Afrikansk gåsefod,Dysphania schraderiana,Dysphania schraderiana,Dysphania schraderiana
1985,Æselagurk,Ecballium elaterium,Ecballium elaterium,Ecballium elaterium
1986,NA,Ecballodictyon planctonicum,,Ecballodictyon planctonicum
1987,Have-purpursolhat,Echinacea purpurea,Echinacea purpurea,Echinacea purpurea
1988,Spinkel hanespore,Echinochloa colona,Echinochloa colonum,Echinochloa colonum
1989,Almindelig hanespore,Echinochloa crus-galli,Echinochloa crus-galli,Echinochloa crus-galli
1990,Korn-hanespore,Echinochloa esculenta,Echinochloa crus-galli,Echinochloa crus-galli
1991,Bleg hanespore,Echinochloa frumentacea,Echinochloa colonum,Echinochloa frumentacea
1992,Amerikansk hanespore,Echinochloa muricata,Echinochloa muricata,Echinochloa muricata
1993,NA,Echinocoleum elegans,,Echinocoleum elegans
1994,Vild agurk,Echinocystis lobata,Echinocystis lobata,Echinocystis lobata
1995,Hybrid-tidselkugle,Echinops ×pellenzianus,Echinops x pellenzianus,Echinops pellenzianus
1996,Blå tidselkugle,Echinops bannaticus,Echinops bannaticus,Echinops bannaticus
1997,Høj tidselkugle,Echinops exaltatus,Echinops exaltatus,Echinops exaltatus
1998,NA,Echinops ritro,Echinops ritro,Echinops ritro
1999,Fligetbladet tidselkugle,Echinops sphaerocephalus,Echinops sphaerocephalus,Echinops sphaerocephalus
2000,Italiensk slangehoved,Echium italicum,Echium italicum,Echium italicum
2001,Vejbred-slangehoved,Echium plantagineum,Echium plantagineum,Echium plantagineum
2002,Slangehoved,Echium vulgare,Echium vulgare,Echium vulgare
2003,NA,Eclipta prostrata,Eclipta prostrata,Eclipta prostrata
2004,NA,Egeria densa,Elodea densa,Elodea densa
2005,Flerårig steppegræs,Ehrharta calycina,Ehrharta calycina,Ehrharta calycina
2006,Vandhyacint,Eichhornia crassipes,Pontederia crassipes,Pontederia crassipes
2007,Smalbladet sølvblad,Elaeagnus angustifolia,Elaeagnus angustifolia,Elaeagnus angustifolia
2008,Sølvblad,Elaeagnus commutata,Elaeagnus commutata,Elaeagnus commutata
2009,Skærm-sølvblad,Elaeagnus umbellata,Elaeagnus umbellata,Elaeagnus umbellata
2010,NA,Elakatothrix acuta,,Elakatothrix acuta
2011,NA,Elakatothrix biplex,,Elakatothrix biplex
2012,NA,Elakatothrix gelatinosa,,Elakatothrix gelatinosa
2013,NA,Elakatothrix gelifacta,,Elakatothrix gelifacta
2014,NA,Elakatothrix genevensis,,Elakatothrix genevensis
2015,NA,Elakatothrix subacuta,,Elakatothrix subacuta
2016,Kransbladet bækarve,Elatine alsinastrum,Elatine alsinastrum,Elatine alsinastrum
2017,Sekshannet bækarve,Elatine hexandra,Elatine hexandra,Elatine hexandra
2018,Vandpeber-bækarve,Elatine hydropiper,Elatine hydropiper,Elatine hydropiper
2019,Nåle-sumpstrå,Eleocharis acicularis,Eleocharis acicularis,Eleocharis acicularis
2020,Vorte-sumpstrå,Eleocharis mamillata,Eleocharis mamillata,Eleocharis mamillata
2021,Mangestænglet sumpstrå,Eleocharis multicaulis,Eleocharis multicaulis,Eleocharis multicaulis
2022,Almindelig sumpstrå,Eleocharis palustris,Eleocharis palustris,Eleocharis palustris
2023,Almindelig sumpstrå × enskællet sumpstrå,Eleocharis palustris × uniglumis,Eleocharis palustris,NA
2024,Sydlig sumpstrå,Eleocharis palustris subsp. palustris,Eleocharis palustris,Eleocharis palustris
2025,Glat sumpstrå,Eleocharis palustris subsp. waltersii,Eleocharis palustris,Eleocharis palustris
2026,Glat sumpstrå × enskællet sumpstrå,Eleocharis palustris subsp. waltersii × uniglumis,Eleocharis palustris,NA
2027,Lav kogleaks,Eleocharis parvula,Eleocharis parvula,Eleocharis parvula
2028,Fåblomstret kogleaks,Eleocharis quinqueflora,Eleocharis quinqueflora,Eleocharis quinqueflora
2029,Enskællet sumpstrå,Eleocharis uniglumis,Eleocharis uniglumis,Eleocharis uniglumis
2030,Afrikansk fingerhirse,Eleusine africana,Eleusine africana,Eleusine africana
2031,Uldhåret fingerhirse,Eleusine floccifolia,Eleusine floccifolia,Eleusine floccifolia
2032,Fingerhirse,Eleusine indica,Eleusine indica,Eleusine indica
2033,Treakset fingerhirse,Eleusine tristachya,Eleusine tristachya,Eleusine tristachya
2034,NA,Ellisia nyctelea,Ellisia nyctelea,Ellisia nyctelea
2035,Vandpest,Elodea canadensis,Elodea canadensis,NA
2036,Smalbladet vandpest,Elodea nuttallii,Elodea nuttallii,Elodea nuttallii
2037,Ægte kryddermynte,Elsholtzia ciliata,Elsholtzia ciliata,Elsholtzia ciliata
2038,Canadisk hundekvik,Elymus canadensis,Elymus canadensis,Elymus canadensis
2039,Hundekvik,Elymus caninus,Elymus caninus,Elymus caninus
2040,Randstribet hundekvik,Elymus marginatus,Pseudoroegneria marginata,Pseudoroegneria marginata
2041,Sibirisk hundekvik,Elymus sibiricus,Elymus sibiricus,Elymus sibiricus
2042,Slank hundekvik,Elymus trachycaulus,Elymus violaceus,Elymus violaceus
2043,NA,Elymus trachycaulus subsp. subsecundus,Elymus violaceus,Elymus violaceus
2044,Virginsk hundekvik,Elymus virginicus,Elymus virginicus,Elymus virginicus
2045,Stiv kvik,Elytrigia atherica,Elymus athericus,Elymus athericus
2046,Klit-kvik,Elytrigia atherica × juncea,Elymus athericus,NA
2047,Stiv kvik × almindelig kvik,Elytrigia atherica × repens,Elymus athericus,NA
2048,NA,Elytrigia intermedia,Thinopyrum intermedium,Thinopyrum intermedium
2049,Strand-kvik,Elytrigia juncea,Thinopyrum junceum,Thinopyrum junceum
2050,Strand-kvik × marehalm,Elytrigia juncea × Leymus arenarius,Thinopyrum junceum,NA
2051,Hybrid-kvik,Elytrigia juncea × repens,Thinopyrum junceum,NA
2052,Strand-kvik (underart),Elytrigia juncea subsp. boreoatlantica,Thinopyrum junceiforme,Thinopyrum junceiforme
2053,Almindelig kvik,Elytrigia repens,Elymus repens,Elymus repens
2054,Almindelig kvik × eng-byg,Elytrigia repens × Hordeum secalinum,Elymus repens,NA
2055,Almindelig kvik × marehalm,Elytrigia repens × Leymus arenarius,Elymus repens,NA
2056,Blågrøn kvik,Elytrigia repens subsp. arenosus,Elymus repens,NA
2057,Langstakket kvik,Elytrigia repens var. aristatus,Elymus repens,Elymus repens
2058,Almindelig kvik (varietet),Elytrigia repens var. repens,Elymus repens,Elymus repens
2059,Revling,Empetrum nigrum,Empetrum nigrum,Empetrum nigrum
2060,Fjeld-revling,Empetrum nigrum subsp. hermaphroditum,Empetrum nigrum,Empetrum hermaphroditum
2061,Revling (underart),Empetrum nigrum subsp. nigrum,Empetrum nigrum,Empetrum nigrum
2062,Stor klokkehætte,Encalypta streptocarpa,,Encalypta streptocarpa
2063,Priktandet klokkehætte,Encalypta trachymitria,,Encalypta trachymitria
2064,Almindelig klokkehætte,Encalypta vulgaris,,Encalypta vulgaris
2065,Silket kridtmos,Entodon concinnus,,Entodon concinnus
2066,Knippe-skjultand,Entosthodon fascicularis,,Entosthodon fascicularis
2067,Butbladet skjultand,Entosthodon obtusus,,Entosthodon obtusus
2068,NA,Ephedra distachya,Ephedra distachya,Ephedra distachya
2069,Glat døgnmos,Ephemerum minutissimum,,Ephemerum serratum
2070,Vortet døgnmos,Ephemerum serratum,,Ephemerum serratum
2071,Takket døgnmos,Ephemerum serratum/minutissimum,,NA
2072,Flustras grønpusling,Epicladia flustrae,,Epicladia flustrae
2073,NA,Epicladia heterotricha,,Epicladia heterotricha
2074,Ålegræssets grønpusling,Epicladia perforans,,Epicladia perforans
2075,Alcyonidiums grønpusling,Epicladia phillipsii,,Epicladia phillipsii
2076,Kirtlet dueurt,Epilobium adenocaulon,Epilobium ciliatum,Epilobium ciliatum
2077,Kirtlet dueurt × hvid dueurt,Epilobium adenocaulon × ciliatum,Epilobium ciliatum,NA
2078,Kirtlet dueurt × alaska-dueurt,Epilobium adenocaulon × glandulosum,Epilobium ciliatum,NA
2079,Kirtlet dueurt × lådden dueurt,Epilobium adenocaulon × hirsutum,Epilobium ciliatum,NA
2080,Kirtlet dueurt × rank dueurt,Epilobium adenocaulon × lamyi,Epilobium ciliatum,NA
2081,Kirtlet dueurt × glat dueurt,Epilobium adenocaulon × montanum,Epilobium ciliatum,NA
2082,Kirtlet dueurt × ris-dueurt,Epilobium adenocaulon × obscurum,Epilobium ciliatum,NA
2083,Kirtlet dueurt × kær-dueurt,Epilobium adenocaulon × palustre,Epilobium ciliatum,NA
2084,Kirtlet dueurt × dunet dueurt,Epilobium adenocaulon × parviflorum,Epilobium ciliatum,NA
2085,Kirtlet dueurt × kantet dueurt,Epilobium adenocaulon × tetragonum,Epilobium ciliatum,NA
2086,NA,Epilobium alsinifolium × lactiflorum,Epilobium alsinifolium,NA
2087,NA,Epilobium alsinifolium × palustre,Epilobium alsinifolium,NA
2088,NA,Epilobium brachycarpum,Epilobium brachycarpum,Epilobium brachycarpum
2089,Hvid dueurt,Epilobium ciliatum,Epilobium ciliatum,Epilobium ciliatum
2090,Hvid dueurt × alaska-dueurt,Epilobium ciliatum × glandulosum,Epilobium ciliatum,NA
2091,Hvid dueurt × glat dueurt,Epilobium ciliatum × montanum,Epilobium ciliatum,NA
2092,Hvid dueurt × ris-dueurt,Epilobium ciliatum × obscurum,Epilobium ciliatum,NA
2093,Hvid dueurt × kær-dueurt,Epilobium ciliatum × palustre,Epilobium ciliatum,NA
2094,Hvid dueurt × dunet dueurt,Epilobium ciliatum × parviflorum,Epilobium ciliatum,NA
2095,Hvid dueurt × rosen-dueurt,Epilobium ciliatum × roseum,Epilobium ciliatum,NA
2096,Hvid dueurt × kantet dueurt,Epilobium ciliatum × tetragonum,Epilobium ciliatum,NA
2097,NA,Epilobium ciliatum var. saximontanum,Epilobium ciliatum,Epilobium ciliatum
2098,Alaska-dueurt,Epilobium glandulosum,Epilobium ciliatum,Epilobium ciliatum
2099,Lådden dueurt,Epilobium hirsutum,Epilobium hirsutum,Epilobium hirsutum
2100,Lådden dueurt × rank dueurt,Epilobium hirsutum × lamyi,Epilobium hirsutum,NA
2101,Lådden dueurt × glat dueurt,Epilobium hirsutum × montanum,Epilobium hirsutum,NA
2102,Lådden dueurt × ris-dueurt,Epilobium hirsutum × obscurum,Epilobium hirsutum,NA
2103,Lådden dueurt × kær-dueurt,Epilobium hirsutum × palustre,Epilobium hirsutum,NA
2104,Lådden dueurt × dunet dueurt,Epilobium hirsutum × parviflorum,Epilobium hirsutum,NA
2105,Lådden dueurt × rosen-dueurt,Epilobium hirsutum × roseum,Epilobium hirsutum,NA
2106,Lådden dueurt × kantet dueurt,Epilobium hirsutum × tetragonum,Epilobium hirsutum,NA
2107,Spæd dueurt,Epilobium komarovianum,Epilobium komarovianum,Epilobium komarovianum
2108,Mælke-dueurt,Epilobium lactiflorum,Epilobium lactiflorum,Epilobium lactiflorum
2109,Rank dueurt,Epilobium lamyi,Epilobium tetragonum,Epilobium lamyi
2110,Rank dueurt × glat dueurt,Epilobium lamyi × montanum,Epilobium tetragonum,NA
2111,Rank dueurt × ris-dueurt,Epilobium lamyi × obscurum,Epilobium tetragonum,NA
2112,Rank dueurt × dunet dueurt,Epilobium lamyi × parviflorum,Epilobium tetragonum,NA
2113,Rank dueurt × rosen-dueurt,Epilobium lamyi × roseum,Epilobium tetragonum,NA
2114,Rank dueurt × kantet dueurt,Epilobium lamyi × tetragonum,Epilobium tetragonum,NA
2115,Glat dueurt,Epilobium montanum,Epilobium montanum,Epilobium montanum
2116,Glat dueurt × ris-dueurt,Epilobium montanum × obscurum,Epilobium montanum,NA
2117,Glat dueurt × kær-dueurt,Epilobium montanum × palustre,Epilobium montanum,NA
2118,Glat dueurt × dunet dueurt,Epilobium montanum × parviflorum,Epilobium montanum,NA
2119,Glat dueurt × rosen-dueurt,Epilobium montanum × roseum,Epilobium montanum,NA
2120,Glat dueurt × kantet dueurt,Epilobium montanum × tetragonum,Epilobium montanum,NA
2121,Ris-dueurt,Epilobium obscurum,Epilobium obscurum,Epilobium obscurum
2122,Ris-dueurt × kær-dueurt,Epilobium obscurum × palustre,Epilobium obscurum,NA
2123,Ris-dueurt × dunet dueurt,Epilobium obscurum × parviflorum,Epilobium obscurum,NA
2124,Ris-dueurt × rosen-dueurt,Epilobium obscurum × roseum,Epilobium obscurum,NA
2125,Ris-dueurt × kantet dueurt,Epilobium obscurum × tetragonum,Epilobium obscurum,NA
2126,Kær-dueurt,Epilobium palustre,Epilobium palustre,Epilobium palustre
2127,Kær-dueurt × dunet dueurt,Epilobium palustre × parviflorum,Epilobium palustre,NA
2128,Kær-dueurt × rosen-dueurt,Epilobium palustre × roseum,Epilobium palustre,NA
2129,Kær-dueurt × kantet dueurt,Epilobium palustre × tetragonum,Epilobium palustre,NA
2130,Dunet dueurt,Epilobium parviflorum,Epilobium parviflorum,Epilobium parviflorum
2131,Dunet dueurt × rosen-dueurt,Epilobium parviflorum × roseum,Epilobium parviflorum,NA
2132,Dunet dueurt × kantet dueurt,Epilobium parviflorum × tetragonum,Epilobium parviflorum,NA
2133,Rosen-dueurt,Epilobium roseum,Epilobium roseum,Epilobium roseum
2134,Rosen-dueurt × kantet dueurt,Epilobium roseum × tetragonum,Epilobium roseum,NA
2135,Kantet dueurt,Epilobium tetragonum,Epilobium tetragonum,Epilobium tetragonum
2136,Rød bispehue,Epimedium ×rubrum,Epimedium x rubrum,Epimedium rubrum
2137,Alpe-bispehue,Epimedium alpinum,Epimedium alpinum,Epimedium alpinum
2138,NA,Epimedium pinnatum,Epimedium pinnatum,Epimedium pinnatum
2139,Finnet bispehue,Epimedium pinnatum subsp. colchicum,Epimedium pinnatum,Epimedium pinnatum
2140,Rød hullæbe,Epipactis atrorubens,Epipactis atrorubens,Epipactis atrorubens
2141,Rød hullæbe × skov-hullæbe,Epipactis atrorubens × helleborine,Epipactis atrorubens,NA
2142,Skov-hullæbe,Epipactis helleborine,Epipactis helleborine,Epipactis helleborine
2143,Skov-hullæbe × tætblomstret hullæbe,Epipactis helleborine × purpurata,Epipactis helleborine,NA
2144,Skov-hullæbe (underart),Epipactis helleborine subsp. helleborine,Epipactis helleborine,Epipactis helleborine
2145,Hollandsk hullæbe,Epipactis helleborine var. neerlandica,Epipactis helleborine,Epipactis helleborine
2146,Skagen-hullæbe,Epipactis helleborine var. renzii,Epipactis helleborine,Epipactis helleborine
2147,Storblomstret hullæbe,Epipactis leptochila,Epipactis leptochila,Epipactis leptochila
2148,Sump-hullæbe,Epipactis palustris,Epipactis palustris,Epipactis palustris
2149,Nikkende hullæbe,Epipactis phyllanthes,Epipactis phyllanthes,Epipactis phyllanthes
2150,Tætblomstret hullæbe,Epipactis purpurata,Epipactis purpurata,Epipactis purpurata
2151,Knælæbe,Epipogium aphyllum,Epipogium aphyllum,Epipogium aphyllum
2152,Ager-padderok,Equisetum arvense,Equisetum arvense,Equisetum arvense
2153,Strand-padderok,Equisetum arvense × fluviatile,Equisetum arvense,NA
2154,Ager-padderok × lund-padderok,Equisetum arvense × pratense,Equisetum arvense,NA
2155,Dynd-padderok,Equisetum fluviatile,Equisetum fluviatile,Equisetum fluviatile
2156,Dynd-padderok × kær-padderok,Equisetum fluviatile × palustre,Equisetum fluviatile,NA
2157,Skavgræs,Equisetum hyemale,Equisetum hyemale,Equisetum hyemale
2158,Skavgræs × liden padderok,Equisetum hyemale × variegatum,Equisetum hyemale,NA
2159,Kær-padderok,Equisetum palustre,Equisetum palustre,Equisetum palustre
2160,Lund-padderok,Equisetum pratense,Equisetum pratense,Equisetum pratense
2161,Lund-padderok × skov-padderok,Equisetum pratense × sylvaticum,Equisetum pratense,NA
2162,Tråd-padderok,Equisetum scirpoides,Equisetum scirpoides,Equisetum scirpoides
2163,Skov-padderok,Equisetum sylvaticum,Equisetum sylvaticum,Equisetum sylvaticum
2164,Elfenbens-padderok,Equisetum telmateia,Equisetum telmateia,Equisetum telmateia
2165,Liden padderok,Equisetum variegatum,Equisetum variegatum,Equisetum variegatum
2166,NA,Eragrostis aegyptiaca,Eragrostis aegyptiaca,Eragrostis aegyptiaca
2167,Fransk kærlighedsgræs,Eragrostis barrelieri,Eragrostis barrelieri,Eragrostis barrelieri
2168,Stor kærlighedsgræs,Eragrostis cilianensis,Eragrostis cilianensis,Eragrostis cilianensis
2169,Mexikansk kærlighedsgræs,Eragrostis mexicana,Eragrostis mexicana,Eragrostis mexicana
2170,Liden kærlighedsgræs,Eragrostis minor,Eragrostis minor,Eragrostis minor
2171,Mangelstænglet kærlighedsgræs,Eragrostis multicaulis,Eragrostis multicaulis,Eragrostis multicaulis
2172,NA,Eragrostis pectinacea,Eragrostis pectinacea,Eragrostis pectinacea
2173,Slør-kærlighedsgræs,Eragrostis pilosa,Eragrostis pilosa,Eragrostis pilosa
2174,Tef,Eragrostis tef,Eragrostis tef,Eragrostis tef
2175,Argentinsk kærlighedsgræs,Eragrostis virescens,Eragrostis virescens,Eragrostis virescens
2176,Tyrkisk erantis,Eranthis cilicica,Eranthis cilicica,Eranthis cilicica
2177,Erantis,Eranthis hyemalis,Eranthis hyemalis,Eranthis hyemalis
2178,NA,Eremopyrum triticeum,Eremopyrum triticeum,Eremopyrum triticeum
2179,Klokkelyng,Erica tetralix,Erica tetralix,Erica tetralix
2180,Bitter bakkestjerne,Erigeron acris,Erigeron acris,Erigeron acris
2181,NA,Erigeron acris subsp. acris,Erigeron acris,Erigeron acris
2182,NA,Erigeron acris subsp. serotinus,Erigeron muralis,NA
2183,Smalstråle,Erigeron annuus,Erigeron annuus,Erigeron annuus
2184,Almindelig smalstråle,Erigeron annuus subsp. annuus,Erigeron annuus,Erigeron annuus
2185,Hvid smalstråle,Erigeron annuus subsp. strigosus,Erigeron strigosus,Erigeron strigosus
2186,Høj bakkestjerne,Erigeron floribundus,Erigeron floribundus,Erigeron floribundus
2187,Mexikansk bakkestjerne,Erigeron karvinskianus,Erigeron karvinskianus,Erigeron karvinskianus
2188,Have-bakkestjerne,Erigeron speciosus,Erigeron speciosus,Erigeron speciosus
2189,NA,Eriochloa villosa,Eriochloa villosa,Eriochloa villosa
2190,Smalbladet kæruld,Eriophorum angustifolium,Eriophorum angustifolium,Eriophorum angustifolium
2191,Fin kæruld,Eriophorum gracile,Eriophorum gracile,Eriophorum gracile
2192,Bredbladet kæruld,Eriophorum latifolium,Eriophorum latifolium,Eriophorum latifolium
2193,Tue-kæruld,Eriophorum vaginatum,Eriophorum vaginatum,Eriophorum vaginatum
2194,Storblomstret hejrenæb,Erodium botrys,Erodium botrys,Erodium botrys
2195,Kirtelfrugtet hejrenæb,Erodium chium,Erodium chium,Erodium chium
2196,Storfrugtet hejrenæb,Erodium ciconium,Erodium ciconium,Erodium ciconium
2197,Hejrenæb,Erodium cicutarium,Erodium cicutarium,Erodium cicutarium
2198,NA,Erodium cicutarium subsp. cicutarium,Erodium cicutarium,Erodium cicutarium
2199,NA,Erodium cicutarium subsp. dunense,Erodium cicutarium,Erodium cicutarium
2200,NA,Erodium malacoides,Erodium malacoides,Erodium malacoides
2201,Moskus-hejrenæb,Erodium moschatum,Erodium moschatum,Erodium moschatum
2202,NA,Erodium stephanianum,Erodium stephanianum,Erodium stephanianum
2203,NA,Eruca vesicaria,Eruca vesicaria,Eruca vesicaria
2204,Salatsennep,Eruca vesicaria subsp. sativa,Eruca sativa,Eruca vesicaria
2205,NA,Erucaria hispanica,Erucaria hispanica,Erucaria hispanica
2206,Svinesennep,Erucastrum gallicum,Erucastrum gallicum,Erucastrum gallicum
2207,NA,Erucastrum nasturtiifolium,Erucastrum nasturtiifolium,Erucastrum nasturtiifolium
2208,Kalksennep,Erucastrum supinum,Erucastrum supinum,Erucastrum supinum
2209,Alpe-mandstro,Eryngium alpinum,Eryngium alpinum,Eryngium alpinum
2210,Bjerg-mandstro,Eryngium campestre,Eryngium campestre,Eryngium campestre
2211,Kæmpe-mandstro,Eryngium giganteum,Eryngium giganteum,Eryngium giganteum
2212,Strand-mandstro,Eryngium maritimum,Eryngium maritimum,Eryngium maritimum
2213,Russisk mandstro,Eryngium planum,Eryngium planum,Eryngium planum
2214,Sibirisk hjørneklap,Erysimum ×marshallii,Erysimum x marshallii,Erysimum marshallii
2215,Gyldenlak-hjørneklap,Erysimum cheiranthoides,Erysimum cheiranthoides,Erysimum cheiranthoides
2216,NA,Erysimum cheiranthoides subsp. altum,Erysimum cheiranthoides,Erysimum cheiranthoides
2217,NA,Erysimum cheiranthoides subsp. cheiranthoides,Erysimum cheiranthoides,Erysimum cheiranthoides
2218,Gyldenlak,Erysimum cheiri,Erysimum x cheiri,Erysimum cheiri
2219,NA,Erysimum crepidifolium,Erysimum crepidifolium,Erysimum crepidifolium
2220,Hård hjørneklap,Erysimum marschallianum,Erysimum marschallianum,Erysimum marschallianum
2221,NA,Erysimum odoratum,Erysimum odoratum,Erysimum odoratum
2222,Udspærret hjørneklap,Erysimum repandum,Erysimum repandum,Erysimum repandum
2223,Rank hjørneklap,Erysimum strictum,Arabis scabra,Erysimum strictum
2224,Øjeskive,Erythrocladia irregularis,,Erythrocladia irregularis
2225,Spatelblad,Erythrodermis traillii,,Erythrodermis traillii
2226,Gul hundetand,Erythronium americanum,Erythronium americanum,Erythronium americanum
2227,Ægte hundetand,Erythronium dens-canis,Erythronium dens-canis,Erythronium dens-canis
2228,NA,Erythronium 'Pagoda',,NA
2229,Almindelig rødhår,Erythrotrichia carnea,,Erythrotrichia carnea
2230,NA,Erythrotrichia investiens,,Erythrotrichia carnea
2231,Krum rødhår,Erythrotrichia reflexa,,Erythrotrichia reflexa
2232,Guldvalmue,Eschscholzia californica,Eschscholzia californica,Eschscholzia californica
2233,NA,Euastrum bidentatum,,Euastrum bidentatum
2234,NA,Euastrum binale,,Euastrum binale
2235,NA,Euastrum binale var. gutwinskii,,Euastrum binale
2236,NA,Euastrum denticulatum,,Euastrum denticulatum
2237,NA,Euastrum didelta,,Euastrum didelta
2238,NA,Euastrum dubium,,Euastrum dubium
2239,NA,Euastrum elegans,,Euastrum elegans
2240,NA,Euastrum elegans f. ornatum,,Euastrum elegans
2241,NA,Euastrum gayanum,,Euastrum gayanum
2242,NA,Euastrum insulare,,Euastrum insulare
2243,NA,Euastrum insulare var. silesiacum,,Euastrum insulare
2244,NA,Euastrum obesum,,Euastrum obesum
2245,NA,Euastrum oblongum,,Euastrum oblongum
2246,NA,Euastrum verrucosum,,Euastrum verrucosum
2247,Kransbladet gaffelmos,Eucladium verticillatum,Trigonostemon verticillatus,Eucladium verticillatum
2248,Næbdodder,Euclidium syriacum,Euclidium syriacum,Euclidium syriacum
2249,Himmelrose,Eudianthe coeli-rosa,Eudianthe coeli-rosa,Eudianthe coeli-rosa
2250,NA,Eudorina elegans,,Eudorina elegans
2251,NA,Eudorina unicocca,,Eudorina unicocca
2252,Tværvægsalge,Eugomontia sacculata,,Eugomontia sacculata
2253,Benved,Euonymus europaeus,Euonymus europaeus,Euonymus europaeus
2254,Krybende benved,Euonymus fortunei,Euonymus fortunei,Euonymus fortunei
2255,Japansk benved,Euonymus japonicus,Euonymus japonicus,Euonymus japonicus
2256,Storbladet benved,Euonymus latifolius,Euonymus latifolius,Euonymus latifolius
2257,Vorte-benved,Euonymus verrucosus,Euonymus verrucosus,Euonymus verrucosus
2258,Hjortetrøst,Eupatorium cannabinum,Eupatorium cannabinum,Eupatorium cannabinum
2259,Cypres-vortemælk × langbladet vortemælk,Euphorbia ×pseudoesula,Euphorbia x pseudoesula,Euphorbia pseudoesula
2260,NA,Euphorbia ×pseudovirgata,Euphorbia virgata,Euphorbia virgata
2261,NA,Euphorbia agraria,Euphorbia agraria,Euphorbia agraria
2262,Mandel-vortemælk,Euphorbia amygdaloides,Euphorbia amygdaloides,Euphorbia amygdaloides
2263,Lav vortemælk,Euphorbia chamaesyce,Euphorbia chamaesyce,Euphorbia chamaesyce
