ID,accepteret_dansk_navn,species,wcvp_species,gbif_species
62,Ulve-stormhat,Aconitum lycoctonum,Aconitum lycoctonum,Aconitum lycoctonum
63,Ulve-stormhat (underart),Aconitum lycoctonum subsp. lycoctonum,Aconitum lycoctonum,Aconitum lycoctonum
64,NA,Aconitum napellus,Aconitum napellus,Aconitum napellus
65,Ægte stormhat,Aconitum napellus subsp. lusitanicum,Aconitum napellus,Aconitum napellus
66,NA,Aconitum reclinatum,Aconitum reclinatum,Aconitum reclinatum
67,NA,Aconitum variegatum,Aconitum variegatum,Aconitum variegatum
68,Finsk pileurt,Aconogonon ×fennicum,Koenigia x fennica,Koenigia fennica
69,Alpe-pileurt,Aconogonon alpinum,Koenigia alpina,Koenigia alpina
70,Udpærret pileurt,Aconogonon divaricatum,Koenigia divaricata,Koenigia divaricata
71,Grå pileurt,Aconogonon weyrichii,Koenigia weyrichii,Koenigia weyrichii
72,Kalmus,Acorus calamus,Acorus calamus,Acorus calamus
73,NA,Acrochaetium balticum,,Acrochaetium balticum
74,NA,Acrochaetium catenulatum,,Acrochaetium catenulatum
75,NA,Acrochaetium cytophagum,,Acrochaetium cytophagum
76,NA,Acrochaetium dumontiae,,Acrochaetium dumontiae
77,NA,Acrochaetium hallandicum,,Colaconema hallandicum
78,NA,Acrochaetium immersum,,Acrochaetium immersum
79,Tynd stjernetråd,Acrochaetium leptonema,,Colaconema leptonema
80,Prægtig stjernetråd,Acrochaetium luxurians,,Acrochaetium luxurians
81,Plet-stjernetråd,Acrochaetium macula,,Acrochaetium macula
82,NA,Acrochaetium microscopicum,,Acrochaetium microscopicum
83,NA,Acrochaetium moniliforme,,Acrochaetium moniliforme
84,NA,Acrochaetium parvulum,,Acrochaetium parvulum
85,Krybende stjernetåd,Acrochaetium reductum,,Acrochaetium reductum
86,Grenet stjernetråd,Acrochaetium secundatum,,Acrochaetium secundatum
87,Kroggrenet grønkugle,Acrosiphonia arcta,,Acrosiphonia arcta
88,Vår-grønkugle,Acrosiphonia centralis,,Acrosiphonia arcta
89,Ensidig grønkugle,Acrosiphonia sonderi,,Acrosiphonia sonderi
90,Rød druemunke,Actaea rubra,Actaea rubra,Actaea rubra
91,Druemunke,Actaea spicata,Actaea spicata,Actaea spicata
92,NA,Actinastrum gracillimum,,Actinastrum gracillimum
93,NA,Actinastrum hantzschii,,Actinastrum hantzschii
94,NA,Actinastrum hantzschii var. subtile,,Actinastrum hantzschii
95,Kiwi,Actinidia deliciosa,Actinidia chinensis,Actinidia chinensis
96,NA,Actinotaenium gelidum,,Actinotaenium gelidum
97,NA,Actinotaenium globosum,,Actinotaenium globosum
98,NA,Acutodesmus acuminatus,,Tetradesmus lagerheimii
99,NA,Acutodesmus acutiformis,,Acutodesmus spec
100,NA,Acutodesmus incrassatulus,,Tetradesmus incrassatulus
101,NA,Acutodesmus obliquusa,,Tetradesmus obliquus
102,Høst-adonis,Adonis annua,Adonis annua,Adonis annua
103,Desmerurt,Adoxa moschatellina,Adoxa moschatellina,Adoxa moschatellina
104,Gedebolle,Aegagropila linnaei,,Aegagropila linnaei
105,Smalakset gedeøje,Aegilops cylindrica,Aegilops cylindrica,Aegilops cylindrica
106,Knæbøjet gedeøje,Aegilops geniculata,Aegilops geniculata,Aegilops geniculata
107,Gold gedeøje,Aegilops neglecta,Aegilops neglecta,Aegilops neglecta
108,Trestakket gedeøje,Aegilops triuncialis,Aegilops triuncialis,Aegilops triuncialis
109,Skvalderkål,Aegopodium podagraria,Aegopodium podagraria,Aegopodium podagraria
110,Hestekastanie,Aesculus hippocastanum,Aesculus hippocastanum,Aesculus hippocastanum
111,Hundepersille,Aethusa cynapium,Aethusa cynapium,Aethusa cynapium
112,Liden hundepersille,Aethusa cynapium var. agrestis,Aethusa cynapium,Aethusa cynapium
113,Almindelig hundepersille,Aethusa cynapium var. cynapium,Aethusa cynapium,Aethusa cynapium
114,Have-hundepersille,Aethusa cynapium var. domestica,Aethusa cynapium,Aethusa cynapium
115,Stor hundepersille,Aethusa cynapium var. gigantea,Aethusa cynapium,Aethusa cynapium
116,Koreansk anisisop,Agastache rugosa,Agastache rugosa,Agastache rugosa
117,Hvid ageratina,Ageratina altissima,Ageratina altissima,Ageratina altissima
118,Almindelig blåkvast,Ageratum houstonianum,Ageratum houstonianum,Ageratum houstonianum
119,Tosidet havpryd,Aglaothamnion bipinnatum,,Aglaothamnion bipinnatum
120,NA,Aglaothamnion halliae,,Aglaothamnion halliae
121,Almindelig havpryd,Aglaothamnion tenuissimum,,Aglaothamnion tenuissimum
122,Almindelig agermåne,Agrimonia eupatoria,Agrimonia eupatoria,Agrimonia eupatoria
123,Almindelig agermåne × vellugtende agermåne,Agrimonia eupatoria × procera,Agrimonia eupatoria,NA
124,Vellugtende agermåne,Agrimonia procera,Agrimonia procera,Agrimonia procera
125,Børstekvik,Agropyron cristatum,Agropyron cristatum,Agropyron cristatum
126,Klinte,Agrostemma githago,Agrostemma githago,Agrostemma githago
127,Sommer-klinte,Agrostemma gracile,Agrostemma brachylobum,Agrostemma brachyloba
128,Hunde-hvene,Agrostis canina,Agrostis canina,Agrostis canina
129,Hunde-hvene × almindelig hvene,Agrostis canina × capillaris,Agrostis canina,NA
130,Hunde-hvene × kryb-hvene,Agrostis canina × stolonifera,Agrostis canina,NA
131,Almindelig hvene,Agrostis capillaris,Agrostis capillaris,Agrostis capillaris
132,Almindelig hvene × stortoppet hvene,Agrostis capillaris × gigantea,Agrostis capillaris,NA
133,Almindelig hvene × kryb-hvene,Agrostis capillaris × stolonifera,Agrostis capillaris,NA
134,Almindelig hvene × sand-hvene,Agrostis capillaris × vinealis,Agrostis capillaris,NA
135,Stortoppet hvene,Agrostis gigantea,Agrostis gigantea,Agrostis gigantea
136,Stortoppet hvene × kryb-hvene,Agrostis gigantea × stolonifera,Agrostis gigantea,NA
137,Bleg hvene,Agrostis pourretii,Agrostis pourretii,Agrostis pourretii
138,Rugrenet hvene,Agrostis scabra,Agrostis scabra,Agrostis scabra
139,Kryb-hvene,Agrostis stolonifera,Agrostis stolonifera,Agrostis stolonifera
140,Kryb-hvene × sand-hvene,Agrostis stolonifera × vinealis,Agrostis stolonifera,NA
141,Klit-hvene,Agrostis stolonifera var. maritima,Agrostis stolonifera,NA
142,Kryb-hvene (varietet),Agrostis stolonifera var. stolonifera,Agrostis stolonifera,Agrostis stolonifera
143,Sand-hvene,Agrostis vinealis,Agrostis vinealis,Agrostis vinealis
144,Horntang,Ahnfeltia plicata,,Ahnfeltia plicata
145,Skyrækker,Ailanthus altissima,Ailanthus altissima,Ailanthus altissima
146,Udspærret dværgbunke,Aira caryophyllea,Aira caryophyllea,Aira caryophyllea
147,Udspærret dværgbunke (underart),Aira caryophyllea subsp. caryophyllea,Aira caryophyllea,Aira caryophyllea
148,Mangestænglet dværgbunke,Aira caryophyllea subsp. plesiantha,Aira multiculmis,Aira caryophyllea
149,Hår-dværgbunke,Aira elegantissima,Aira elegans,Aira elegans
150,Tidlig dværgbunke,Aira praecox,Aira praecox,Aira praecox
151,Gul læbeløs,Ajuga chamaepitys,Ajuga chamaepitys,Ajuga chamaepitys
152,NA,Ajuga chamaepitys subsp. chia,Ajuga chamaepitys,Ajuga chamaepitys
153,Fjeld-læbeløs,Ajuga genevensis,Ajuga genevensis,Ajuga genevensis
154,Pyramide-læbeløs,Ajuga pyramidalis,Ajuga pyramidalis,Ajuga pyramidalis
155,Pyramide-læbeløs × krybende læbeløs,Ajuga pyramidalis × reptans,Ajuga pyramidalis,NA
156,Krybende læbeløs,Ajuga reptans,Ajuga reptans,Ajuga reptans
157,Femfingret akebia,Akebia quinata,Akebia quinata,Akebia quinata
158,NA,Alcea ficifolia,Alcea ficifolia,Alcea rosea
159,Have-stokrose,Alcea rosea,Alcea rosea,Alcea rosea
160,Spidslappet løvefod,Alchemilla acutiloba,Alchemilla vulgaris,NA
161,Bjerg-løvefod,Alchemilla alpina,Alchemilla alpina,Alchemilla alpina
162,Kalk-løvefod,Alchemilla conjuncta,Alchemilla conjuncta,Alchemilla conjuncta
163,Trådstænglet løvefod,Alchemilla filicaulis,Alchemilla filicaulis,Alchemilla filicaulis
164,Trådstænglet løvefod (varietet),Alchemilla filicaulis var. filicaulis,Alchemilla filicaulis,Alchemilla vulgaris
165,Håret løvefod,Alchemilla filicaulis var. vestita,Alchemilla filicaulis,Alchemilla vulgaris
166,Glat løvefod,Alchemilla glabra,Alchemilla glabra,Alchemilla glabra
167,Blågrøn løvefod,Alchemilla glaucescens,Alchemilla glaucescens,Alchemilla glaucescens
168,Nøgleblomstret løvefod,Alchemilla glomerulans,Alchemilla glomerulans,Alchemilla glomerulans
169,NA,Alchemilla hybrida,Alchemilla hybrida,Alchemilla hybrida
170,Glansbladet løvefod,Alchemilla micans,Alchemilla micans,Alchemilla micans
171,Lådden løvefod,Alchemilla mollis,Alchemilla mollis,Alchemilla mollis
172,Grå løvefod,Alchemilla monticola,Alchemilla monticola,Alchemilla monticola
173,Hjulbladet løvefod,Alchemilla propinqua,Alchemilla propinqua,Alchemilla propinqua
174,Butlappet løvefod,Alchemilla subcrenata,Alchemilla subcrenata,Alchemilla subcrenata
175,Almindelig løvefod,Alchemilla vulgaris,Alchemilla vulgaris,Alchemilla vulgaris
176,Gulgrøn løvefod,Alchemilla xanthochlora,Alchemilla xanthochlora,Alchemilla xanthochlora
177,Kortskaftet skeblad,Alisma gramineum,Alisma gramineum,Alisma gramineum
178,Kortskaftet skeblad (submers form),Alisma gramineum f. submersum,Alisma gramineum,Alisma gramineum
179,Lancet-skeblad,Alisma lanceolatum,Alisma lanceolatum,Alisma lanceolatum
180,Lancet-skeblad × vejbred-skeblad,Alisma lanceolatum × plantago-aquatica,Alisma lanceolatum,NA
181,Lancet-skeblad (submers form),Alisma lanceolatum f. submersum,Alisma lanceolatum,Alisma lanceolatum
182,Vejbred-skeblad,Alisma plantago-aquatica,Alisma plantago-aquatica,Alisma plantago-aquatica
183,Vejbred-skeblad (submers form),Alisma plantago-aquatica f. submersa,Alisma plantago-aquatica,Alisma plantago-aquatica
184,Løgkarse,Alliaria petiolata,Alliaria petiolata,Alliaria petiolata
185,Etage-løg,Allium ×proliferum,Allium x proliferum,Allium proliferum
186,NA,Allium aflatunense,Allium aflatunense,Allium aflatunense
187,NA,Allium altissimum,Allium altissimum,Allium altissimum
188,Porre,Allium ampeloprasum,Allium ampeloprasum,Allium ampeloprasum
189,Russisk løg,Allium angulosum,Allium angulosum,Allium angulosum
190,NA,Allium atropurpureum,Allium atropurpureum,Allium atropurpureum
191,NA,Allium caeruleum,Allium caeruleum,Allium caeruleum
192,Kølet løg,Allium carinatum,Allium carinatum,Allium carinatum
193,Kepa-løg,Allium cepa,Allium cepa,Allium cepa
194,Orientalsk pryd-løg,Allium cristophii,Allium cristophii,Allium cristophii
195,Pibe-løg,Allium fistulosum,Allium fistulosum,Allium fistulosum
196,Kirgisisk pryd-løg,Allium hollandicum,Allium hollandicum,Allium hollandicum
197,Turkestansk løg,Allium karataviense,Allium karataviense,Allium karataviense
198,Kantet løg,Allium lusitanicum,Allium lusitanicum,Allium lusitanicum
199,Guld-løg,Allium moly,Allium moly,Allium moly
200,Vild løg,Allium oleraceum,Allium oleraceum,Allium oleraceum
201,Spøjs løg,Allium paradoxum,Allium paradoxum,Allium paradoxum
202,NA,Allium pendulinum,Allium pendulinum,Allium pendulinum
203,Rund løg,Allium rotundum,Allium rotundum,Allium rotundum
204,Pur-løg,Allium schoenoprasum,Allium schoenoprasum,Allium schoenoprasum
205,NA,Allium schoenoprasum var. jurmoënse,NA,Allium schoenoprasum
206,Almindelig pur-løg,Allium schoenoprasum var. schoenoprasum,Allium schoenoprasum,Allium schoenoprasum
207,Skov-løg,Allium scorodoprasum,Allium scorodoprasum,Allium scorodoprasum
208,NA,Allium senescens,Allium senescens,Allium senescens
209,Middelhavs-prydløg,Allium sphaerocephalon,Allium sphaerocephalon,Allium sphaerocephalon
210,Kina-løg,Allium tuberosum,Allium tuberosum,Allium tuberosum
211,Rams-løg,Allium ursinum,Allium ursinum,Allium ursinum
212,Sand-løg,Allium vineale,Allium vineale,Allium vineale
213,Purpur sand-løg,Allium vineale var. purpureum,Allium vineale,Allium vineale
214,Sand-løg (varietet),Allium vineale var. vineale,Allium vineale,Allium vineale
215,Grøn el,Alnus alnobetula,Alnus alnobetula,Alnus alnobetula
216,Hjertebladet el,Alnus cordata,Alnus cordata,Alnus cordata
217,Rød-el,Alnus glutinosa,Alnus glutinosa,Alnus glutinosa
218,Rød-el × grå-el,Alnus glutinosa × incana,Alnus glutinosa,NA
219,"Grå-el, Hvid-el",Alnus incana,Alnus incana,Alnus incana
220,Rynket el,Alnus rugosa,Alnus incana,Alnus rugosa
221,Alaska-el,Alnus sinuata,Alnus alnobetula,Alnus alnobetula
222,Spidsbladet tøffelmos,Aloina aloides,,Aloina aloides
223,Krog-tøffelmos,Aloina ambigua,,Aloina ambigua
224,Kort tøffelmos,Aloina brevirostris,,Aloina brevirostris
225,Stiv tøffelmos,Aloina rigida,Nolana divaricata,Aloina rigida
226,Vippeblomst,Alonsoa warscewiczii,Alonsoa meridionalis,Alonsoa meridionalis
227,Gul rævehale,Alopecurus aequalis,Alopecurus aequalis,Alopecurus aequalis
228,Sort rævehale,Alopecurus arundinaceus,Alopecurus arundinaceus,Alopecurus arundinaceus
229,NA,Alopecurus bulbosus,Alopecurus bulbosus,Alopecurus bulbosus
230,Knæbøjet rævehale,Alopecurus geniculatus,Alopecurus geniculatus,Alopecurus geniculatus
231,Knæbøjet rævehale × eng-rævehale,Alopecurus geniculatus × pratensis,Alopecurus geniculatus,NA
232,Knold-rævehale,Alopecurus geniculatus var. bulbosus,Alopecurus geniculatus,Alopecurus geniculatus
233,Knæbøjet rævehale (varietet),Alopecurus geniculatus var. geniculatus,Alopecurus geniculatus,Alopecurus geniculatus
234,Ager-rævehale,Alopecurus myosuroides,Alopecurus myosuroides,Alopecurus myosuroides
235,Eng-rævehale,Alopecurus pratensis,Alopecurus pratensis,Alopecurus pratensis
236,Opblæst rævehale,Alopecurus rendlei,Alopecurus rendlei,Alopecurus rendlei
237,Alligator-urt,Alternanthera philoxeroides,Alternanthera philoxeroides,Alternanthera philoxeroides
238,Lægestokrose,Althaea officinalis,Althaea officinalis,Althaea officinalis
239,Grådodder,Alyssum alyssoides,Alyssum alyssoides,Alyssum alyssoides
240,Steppe-grådodder,Alyssum desertorum,Alyssum desertorum,Alyssum turkestanicum
241,NA,Alyssum hirsutum,Alyssum hirsutum,Alyssum hirsutum
242,Liden krognål,Alyssum montanum,Alyssum montanum,Alyssum montanum
243,Sølv-krognål,Alyssum murale,Odontarrhena muralis,NA
244,NA,Alyssum simplex,Alyssum simplex,Alyssum simplex
245,Hvid amarant,Amaranthus albus,Amaranthus albus,Amaranthus albus
246,Skebladet amarant,Amaranthus blitoides,Amaranthus blitoides,Amaranthus blitoides
247,Plet-amarant,Amaranthus blitum,Amaranthus blitum,Amaranthus blitum
248,NA,Amaranthus bouchonii,Amaranthus hybridus,Amaranthus bouchonii
249,Rævehale-amarant,Amaranthus caudatus,Amaranthus caudatus,Amaranthus caudatus
250,NA,Amaranthus crispus,Amaranthus crispus,Amaranthus crispus
251,Krybende amarant,Amaranthus deflexus,Amaranthus deflexus,Amaranthus deflexus
252,Græsk amarant,Amaranthus graecizans,Amaranthus graecizans,Amaranthus graecizans
253,Smalbladet græsk amarant,Amaranthus graecizans var. graecizans,Amaranthus graecizans,Amaranthus graecizans
254,Bredbladet græsk amarant,Amaranthus graecizans var. sylvestris,Amaranthus graecizans,Amaranthus graecizans
255,Top-amarant,Amaranthus hybridus,Amaranthus hybridus,Amaranthus hybridus
256,Blod-amarant,Amaranthus hybridus subsp. cruentus,Amaranthus cruentus,NA
257,Grøn top-amarant,Amaranthus hybridus subsp. hybridus,Amaranthus hybridus,Amaranthus hybridus
258,Kortakset top-amarant,Amaranthus hybridus subsp. hypochondriacus,Amaranthus hypochondriacus,Amaranthus hybridus
259,Tykgrenet top-amarant,Amaranthus hybridus subsp. powellii,Amaranthus powellii,Amaranthus powellii
260,NA,Amaranthus macrocarpus,Amaranthus macrocarpus,Amaranthus macrocarpus
261,NA,Amaranthus muricatus,Amaranthus muricatus,Amaranthus muricatus
262,Mølle-amarant,Amaranthus palmeri,Amaranthus palmeri,Amaranthus palmeri
263,NA,Amaranthus quitensis,Amaranthus hybridus,Amaranthus quitensis
264,Opret amarant,Amaranthus retroflexus,Amaranthus retroflexus,Amaranthus retroflexus
265,NA,Amaranthus rudis,Amaranthus tuberculatus,Amaranthus tuberculatus
266,Tornet amarant,Amaranthus spinosus,Amaranthus spinosus,Amaranthus spinosus
267,Argentinsk amarant,Amaranthus standleyanus,Amaranthus standleyanus,Amaranthus standleyanus
268,NA,Amaranthus thunbergii,Amaranthus thunbergii,Amaranthus thunbergii
269,Smal amarant,Amaranthus viridis,Amaranthus viridis,Amaranthus viridis
270,Duft-knopurt,Amberboa moschata,Amberboa moschata,Amberboa moschata
271,Almindelig stumptand,Amblyodon dealbatus,,Amblyodon dealbatus
272,Almindelig krybmos,Amblystegium serpens,,Amblystegium serpens
273,Bynke-ambrosie,Ambrosia artemisiifolia,Ambrosia artemisiifolia,Ambrosia artemisiifolia
274,Krybende ambrosie,Ambrosia psilostachya,Ambrosia psilostachya,Ambrosia psilostachya
275,Trefliget ambrosie,Ambrosia trifida,Ambrosia trifida,Ambrosia trifida
276,Ellebladet bærmispel,Amelanchier alnifolia,Amelanchier alnifolia,Amelanchier alnifolia
277,Langstilket bærmispel,Amelanchier confusa,Amelanchier x lamarckii,Amelanchier lamarckii
278,Allegheny-bærmispel,Amelanchier laevis,Amelanchier laevis,Amelanchier laevis
279,Bærmispel,Amelanchier lamarckii,Amelanchier x lamarckii,Amelanchier lamarckii
280,Aks-bærmispel,Amelanchier spicata,,NA
281,NA,Amethystea caerulea,Amethystea caerulea,Amethystea caerulea
282,Kongekommen,Ammi majus,Ammi majus,Ammi majus
283,Tandstikkerurt,Ammi visnaga,Visnaga daucoides,Visnaga daucoides
284,Sand-hjælme,Ammophila arenaria,Calamagrostis arenaria,NA
285,Østersøhjælme,Ammophila arenaria × Calamagrostis epigejos,Calamagrostis arenaria,NA
286,NA,Ammophila arenaria × Calamagrostis epigejos nm. epigeioidea,Calamagrostis arenaria,NA
287,NA,Ammophila arenaria × Calamagrostis epigejos nm. intermedia,Calamagrostis arenaria,NA
288,NA,Ammophila arenaria × Calamagrostis epigejos nm. subarenaria,Calamagrostis arenaria,NA
289,Skør pudemos,Amphidium mougeotii,,Amphidium mougeotii
290,NA,Amsinckia arenaria,Amsinckia lycopsoides,Amsinckia lycopsoides
291,NA,Amsinckia calycina,Amsinckia calycina,Amsinckia calycina
292,NA,Amsinckia douglasiana,Amsinckia douglasiana,Amsinckia douglasiana
293,NA,Amsinckia eastwoodae,Amsinckia eastwoodiae,Amsinckia eastwoodae
294,NA,Amsinckia intermedia,Amsinckia menziesii,Amsinckia menziesii
295,Hønse-gulurt,Amsinckia lycopsoides,Amsinckia lycopsoides,Amsinckia lycopsoides
296,NA,Amsinckia menziesii,Amsinckia menziesii,Amsinckia menziesii
297,Småblomstret gulurt,Amsinckia micrantha,Amsinckia menziesii,Amsinckia menziesii
298,NA,Amsinckia retrorsa,Amsinckia menziesii,Amsinckia menziesii
299,NA,Amsinckia tessalata,Amsinckia tessellata,Amsinckia tessellata
300,Salepgøgeurt,Anacamptis morio,Anacamptis morio,Anacamptis morio
301,Horndrager,Anacamptis pyramidalis,Anacamptis pyramidalis,Anacamptis pyramidalis
302,NA,Anacyclus clavatus,Anacyclus clavatus,Anacyclus clavatus
303,Ringblomst,Anacyclus radiatus,Anacyclus radiatus,Anacyclus radiatus
304,Perlekurv,Anaphalis margaritacea,Anaphalis margaritacea,Anaphalis margaritacea
305,Dværg-rendeblad,Anastrophyllum hellerianum,,Crossocalyx hellerianus
306,NA,Anastrophyllum minutum,,Sphenolobus minutus
307,Liden rendeblad,Anastrophyllum minutum var. weberi,,Sphenolobus minutus
308,Krumhals,Anchusa arvensis,Anchusa arvensis,Lycopsis arvensis
309,NA,Anchusa arvensis subsp. arvensis,Anchusa arvensis,Lycopsis arvensis
310,NA,Anchusa arvensis subsp. orientalis,Anchusa ovata,Lycopsis arvensis
311,Italiensk oksetunge,Anchusa azurea,Anchusa azurea,Anchusa azurea
312,NA,Anchusa ochroleuca,Anchusa ochroleuca,Anchusa ochroleuca
313,NA,Anchusa ochroleuca × officinalis,Anchusa ochroleuca,NA
314,Læge-oksetunge,Anchusa officinalis,Anchusa officinalis,Anchusa officinalis
315,NA,Anchusa undulata,Anchusa undulata,Anchusa undulata
316,Ribbe-sortmos,Andreaea rothii,,Andreaea rothii
317,Lille sortmos,Andreaea rupestris,,Andreaea rupestris
318,Rosmarinlyng,Andromeda polifolia,Andromeda polifolia,Andromeda polifolia
319,Virginsk kostegræs,Andropogon virginicus,Andropogon virginicus,Andropogon virginicus
320,Nordisk fjeldarve,Androsace septentrionalis,Androsace septentrionalis,Androsace septentrionalis
321,Almindelig filtkurv,Andryala integrifolia,Andryala integrifolia,Andryala integrifolia
322,Apenniner-anemone,Anemone apennina,Anemonoides blanda,Anemone apennina
323,Apenniner-anemone (varietet),Anemone apennina var. apennina,Anemonoides blanda,NA
324,Blegblå anemone,Anemone apennina var. pallida,Anemonoides apennina,Anemone apennina
325,Balkan-anemone,Anemone blanda,Anemonoides blanda,Anemone blanda
326,NA,Anemone coronaria,Anemone coronaria,Anemone coronaria
327,Høst-anemone,Anemone hupehensis,Eriocapitella hupehensis,Eriocapitella hupehensis
328,Hvid anemone,Anemone nemorosa,Anemonoides altaica,Anemone nemorosa
329,Svovlgul anemone,Anemone nemorosa × ranunculoides,Anemonoides altaica,NA
330,Gul anemone,Anemone ranunculoides,Anemonastrum richardsonii,Anemone ranunculoides
331,Sommer-anemone,Anemone sylvestris,Pulsatilla vulgaris,Anemone sylvestris
332,Sølv-anemone,Anemone tomentosa,Eriocapitella tomentosa,Eriocapitella tomentosa
333,Ranunkelanemone,Anemonidium canadense,Anemonastrum canadense,Anemonastrum canadense
334,Dild,Anethum graveolens,Anethum graveolens,Anethum graveolens
335,Vinget nerveløs,Aneura maxima,,Aneura maxima
