family,genus,species,N
Asteraceae,Bidens,Bidens cernua,3735
Asteraceae,Bidens,Bidens radiata,4
Asteraceae,Bidens,Bidens tripartita,5931
Polygonaceae,Bistorta,Bistorta vivipara,1
Cyperaceae,Blysmus,Blysmus compressus,1669
Cyperaceae,Blysmus,Blysmus rufus,570
Ophioglossaceae,Botrychium,Botrychium lunaria,445
Ophioglossaceae,Botrychium,Botrychium matricariifolium,12
Ophioglossaceae,Sceptridium,Sceptridium multifidum,175
Ophioglossaceae,Botrychium,Botrychium simplex,112
Poaceae,Brachypodium,Brachypodium pinnatum,53
Poaceae,Brachypodium,Brachypodium sylvaticum,6026
Poaceae,Briza,Briza media,12688
Poaceae,Bromus,Bromus benekenii,352
Poaceae,Bromus,Bromus ramosus,1157
Poaceae,Bromus,Bromus hordeaceus,23801
Poaceae,Bromus,Bromus hordeaceus,23801
Poaceae,Bromus,Bromus racemosus,56
Apiaceae,Bupleurum,Bupleurum tenuissimum,440
Butomaceae,Butomus,Butomus umbellatus,1366
Brassicaceae,Cakile,Cakile maritima,3425
Brassicaceae,Cakile,Cakile maritima,3425
Poaceae,Calamagrostis,Calamagrostis arundinacea,967
Poaceae,Calamagrostis,Calamagrostis canescens,33966
Poaceae,Calamagrostis,Calamagrostis epigejos,23733
Poaceae,Achnatherum,Achnatherum calamagrostis,18
Araceae,Calla,Calla palustris,1807
Plantaginaceae,Callitriche,Callitriche brutia,6
Plantaginaceae,Callitriche,Callitriche cophocarpa,129
Plantaginaceae,Callitriche,Callitriche hamulata,456
Plantaginaceae,Callitriche,Callitriche hermaphroditica,29
Plantaginaceae,Callitriche,Callitriche palustris,49
Plantaginaceae,Callitriche,Callitriche platycarpa,1206
Plantaginaceae,Callitriche,Callitriche stagnalis,462
Ericaceae,Calluna,Calluna vulgaris,224764
Ranunculaceae,Caltha,Caltha palustris,29092
Ranunculaceae,Caltha,Caltha palustris,29092
Convolvulaceae,Calystegia,Calystegia sepium,15347
Convolvulaceae,Calystegia,Calystegia soldanella,108
Campanulaceae,Campanula,Campanula glomerata,361
Campanulaceae,Campanula,Campanula latifolia,383
Campanulaceae,Campanula,Campanula persicifolia,1157
Campanulaceae,Campanula,Campanula rotundifolia,39221
Campanulaceae,Campanula,Campanula trachelium,1410
Brassicaceae,Cardamine,Cardamine amara,13608
Brassicaceae,Cardamine,Cardamine bulbifera,1423
Brassicaceae,Cardamine,Cardamine flexuosa,1200
Brassicaceae,Cardamine,Cardamine impatiens,58
Brassicaceae,Cardamine,Cardamine pratensis,33260
Brassicaceae,Cardamine,Cardamine pratensis,33260
Cyperaceae,Carex,Carex acuta,6530
Cyperaceae,Carex,Carex acutiformis,38514
Cyperaceae,Carex,Carex appropinquata,1791
Cyperaceae,Carex,Carex arenaria,115729
Cyperaceae,Carex,Carex buxbaumii,27
Cyperaceae,Carex,Carex canescens,13779
Cyperaceae,Carex,Carex caryophyllea,3625
Cyperaceae,Carex,Carex cespitosa,2263
Cyperaceae,Carex,Carex chordorrhiza,13
Cyperaceae,Carex,Carex colchica,106
Cyperaceae,Carex,Carex demissa,3211
Cyperaceae,Carex,Carex diandra,3332
Cyperaceae,Carex,Carex digitata,425
Cyperaceae,Carex,Carex dioica,514
Cyperaceae,Carex,Carex distans,3752
Cyperaceae,Carex,Carex disticha,42062
Cyperaceae,Carex,Carex leersii,429
Cyperaceae,Carex,Carex echinata,11754
Cyperaceae,Carex,Carex elata,16412
Cyperaceae,Carex,Carex elongata,2570
Cyperaceae,Carex,Carex ericetorum,204
Cyperaceae,Carex,Carex extensa,650
Cyperaceae,Carex,Carex flacca,20953
Cyperaceae,Carex,Carex flava,421
Cyperaceae,Carex,Carex hartmaniorum,16
Cyperaceae,Carex,Carex hirta,40244
Cyperaceae,Carex,Carex hostiana,791
Cyperaceae,Carex,Carex lasiocarpa,6036
Cyperaceae,Carex,Carex lepidocarpa,2343
Cyperaceae,Carex,Carex leporina,18810
Cyperaceae,Carex,Carex limosa,438
Cyperaceae,Carex,Carex maritima,3
Cyperaceae,Carex,Carex montana,214
Cyperaceae,Carex,Carex nigra,124553
Cyperaceae,Carex,Carex oederi,2813
Cyperaceae,Carex,Carex oederi,2813
Cyperaceae,Carex,Carex otrubae,7104
Cyperaceae,Carex,Carex pairae,2798
Cyperaceae,Carex,Carex pallescens,1267
Cyperaceae,Carex,Carex panicea,38846
Cyperaceae,Carex,Carex paniculata,33985
Cyperaceae,Carex,Carex pauciflora,1
Cyperaceae,Carex,Carex pendula,329
Cyperaceae,Carex,Carex pilulifera,35474
Cyperaceae,Carex,Carex pseudocyperus,14711
Cyperaceae,Carex,Carex pulicaris,998
Cyperaceae,Carex,Carex remota,10465
Cyperaceae,Carex,Carex riparia,4677
Cyperaceae,Carex,Carex rostrata,71096
Cyperaceae,Carex,Carex spicata,3407
Cyperaceae,Carex,Carex strigosa,423
Cyperaceae,Carex,Carex sylvatica,9245
Cyperaceae,Carex,Carex trinervis,194
Cyperaceae,Carex,Carex vesicaria,7941
Cyperaceae,Carex,Carex vulpina,243
Asteraceae,Carlina,Carlina vulgaris,3159
Betulaceae,Carpinus,Carpinus betulus,3903
Apiaceae,Carum,Carum carvi,697
Poaceae,Catabrosa,Catabrosa aquatica,734
Asteraceae,Centaurea,Centaurea jacea,17660
Asteraceae,Centaurea,Centaurea pseudophrygia,198
Asteraceae,Centaurea,Centaurea scabiosa,10359
Gentianaceae,Centaurium,Centaurium erythraea,2104
Gentianaceae,Centaurium,Centaurium littorale,1427
Gentianaceae,Centaurium,Centaurium littorale,1427
Gentianaceae,Centaurium,Centaurium pulchellum,947
Orchidaceae,Cephalanthera,Cephalanthera damasonium,222
Orchidaceae,Cephalanthera,Cephalanthera longifolia,81
Orchidaceae,Cephalanthera,Cephalanthera rubra,90
Caryophyllaceae,Cerastium,Cerastium brachypetalum,29
Caryophyllaceae,Cerastium,Cerastium diffusum,355
Caryophyllaceae,Cerastium,Cerastium holosteoides,72924
Caryophyllaceae,Cerastium,Cerastium glomeratum,1758
Caryophyllaceae,Cerastium,Cerastium glutinosum,207
Caryophyllaceae,Cerastium,Cerastium semidecandrum,7333
Caryophyllaceae,Cerastium,Cerastium subtetrandrum,15
Papaveraceae,Ceratocapnos,Ceratocapnos claviculata,1354
Ceratophyllaceae,Ceratophyllum,Ceratophyllum demersum,2613
Ceratophyllaceae,Ceratophyllum,Ceratophyllum submersum,2816
Apiaceae,Chaerophyllum,Chaerophyllum temulum,3557
Onagraceae,Chamaenerion,Chamaenerion angustifolium,23954
Ericaceae,Chimaphila,Chimaphila umbellata,16
Saxifragaceae,Chrysosplenium,Chrysosplenium alternifolium,2976
Saxifragaceae,Chrysosplenium,Chrysosplenium oppositifolium,3395
Apiaceae,Cicuta,Cicuta virosa,5702
Onagraceae,Circaea,Circaea alpina,106
Onagraceae,Circaea,Circaea lutetiana,11820
Asteraceae,Cirsium,Cirsium acaule,4218
Asteraceae,Cirsium,Cirsium arvense,85970
Asteraceae,Cirsium,Cirsium heterophyllum,132
Asteraceae,Cirsium,Cirsium oleraceum,24337
Asteraceae,Cirsium,Cirsium palustre,92101
Asteraceae,Cirsium,Cirsium vulgare,31684
Cyperaceae,Cladium,Cladium mariscus,10120
Lamiaceae,Clinopodium,Clinopodium acinos,1194
Lamiaceae,Clinopodium,Clinopodium vulgare,758
Brassicaceae,Cochlearia,Cochlearia danica,1234
Brassicaceae,Cochlearia,Cochlearia anglica,1234
Brassicaceae,Cochlearia,Cochlearia officinalis,3669
Rosaceae,Comarum,Comarum palustre,35883
Asparagaceae,Convallaria,Convallaria majalis,4224
Orchidaceae,Corallorhiza,Corallorhiza trifida,87
Cornaceae,Cornus,Cornus sanguinea,1869
Cornaceae,Cornus,Cornus suecica,287
Caryophyllaceae,Corrigiola,Corrigiola litoralis,35
Papaveraceae,Corydalis,Corydalis cava,1396
Papaveraceae,Corydalis,Corydalis intermedia,651
Papaveraceae,Corydalis,Corydalis pumila,310
Betulaceae,Corylus,Corylus avellana,18280
Poaceae,Corynephorus,Corynephorus canescens,12763
Rosaceae,Cotoneaster,Cotoneaster niger,30
Rosaceae,Cotoneaster,Cotoneaster integerrimus,31
Brassicaceae,Crambe,Crambe maritima,3487
Crassulaceae,Crassula,Crassula aquatica,1
Rosaceae,Crataegus,Crataegus laevigata,14174
Rosaceae,Crataegus,Crataegus monogyna,44172
Rosaceae,Crataegus,Crataegus rhipidophylla,166
Asteraceae,Crepis,Crepis paludosa,4241
Asteraceae,Crepis,Crepis praemorsa,5
Convolvulaceae,Cuscuta,Cuscuta epithymum,137
Convolvulaceae,Cuscuta,Cuscuta europaea,297
Poaceae,Cynosurus,Cynosurus cristatus,35399
Cyperaceae,Cyperus,Cyperus fuscus,29
Orchidaceae,Cypripedium,Cypripedium calceolus,76
Cystopteridaceae,Cystopteris,Cystopteris fragilis,58
Fabaceae,Cytisus,Cytisus scoparius,20835
Poaceae,Dactylis,Dactylis glomerata,94473
Poaceae,Dactylis,Dactylis glomerata,94473
Orchidaceae,Dactylorhiza,Dactylorhiza incarnata,3612
Orchidaceae,Dactylorhiza,Dactylorhiza incarnata,3612
Orchidaceae,Dactylorhiza,Dactylorhiza incarnata,3612
Orchidaceae,Dactylorhiza,Dactylorhiza maculata,4177
Orchidaceae,Dactylorhiza,Dactylorhiza maculata,4177
Orchidaceae,Dactylorhiza,Dactylorhiza majalis,11042
Orchidaceae,Dactylorhiza,Dactylorhiza majalis,11042
Orchidaceae,Dactylorhiza,Dactylorhiza majalis,11042
Orchidaceae,Dactylorhiza,Dactylorhiza majalis,11042
Orchidaceae,Dactylorhiza,Dactylorhiza sambucina,104
Poaceae,Danthonia,Danthonia decumbens,20608
Apiaceae,Daucus,Daucus carota,13893
Poaceae,Deschampsia,Deschampsia cespitosa,124236
Poaceae,Deschampsia,Deschampsia setacea,1060
Caryophyllaceae,Dianthus,Dianthus armeria,153
Caryophyllaceae,Dianthus,Dianthus deltoides,5626
Caryophyllaceae,Dianthus,Dianthus superbus,404
Caprifoliaceae,Dipsacus,Dipsacus pilosus,58
Brassicaceae,Draba,Draba incana,66
Brassicaceae,Draba,Draba verna,3069
Droseraceae,Drosera,Drosera anglica,210
Droseraceae,Drosera,Drosera intermedia,2801
Droseraceae,Drosera,Drosera rotundifolia,9705
Poaceae,Festuca,Festuca altissima,1087
Dryopteridaceae,Dryopteris,Dryopteris carthusiana,45860
Dryopteridaceae,Dryopteris,Dryopteris cristata,1635
Dryopteridaceae,Dryopteris,Dryopteris dilatata,21005
Dryopteridaceae,Dryopteris,Dryopteris expansa,489
Dryopteridaceae,Dryopteris,Dryopteris filix-mas,18976
Elatinaceae,Elatine,Elatine hexandra,30
Elatinaceae,Elatine,Elatine hydropiper,17
Cyperaceae,Eleocharis,Eleocharis acicularis,139
Cyperaceae,Eleocharis,Eleocharis multicaulis,3638
